Year,Mark,Athlete,Place
1999,68.19,Trine Hattestad ( NOR ),Fana
2000,69.48,Trine Hattestad ( NOR ),Oslo
2001,71.54,Osleidys Menéndez ( CUB ),Rethymno
2002,67.47,Miréla Manjani ( GRE ),Munich
2003,66.52,Miréla Manjani ( GRE ),Paris
2004,71.53,Osleidys Menéndez ( CUB ),Athens
2005,71.70,Osleidys Menéndez ( CUB ),Helsinki
2006,66.91,Christina Obergföll ( GER ),Athens
2007,70.20,Christina Obergföll ( GER ),Munich
2008,72.28,Barbora Špotáková ( CZE ),Stuttgart
2009,68.59,Christina Obergföll ( GER ),Leiria
2010,68.66,Barbora Špotáková ( CZE ),Rome
2011,71.58,Barbora Špotáková ( CZE ),Daegu
2012,69.55,Barbora Špotáková ( CZE ),London
2013,70.53,Mariya Abakumova ( RUS ),Berlin
2014,67.99,Barbora Spotáková ( CZE ),Brussels
2015,67.69,Katharina Molitor ( GER ),Beijing
2016,67.30,Vera Rebrik ( RUS ),Adler
2017,68.43,Sara Kolak ( CRO ),Lausanne
2018,68.92,Kathryn Mitchell ( AUS ),Gold Coast
