Name of Award,Awardee ( s ),Name of Film
Best Film,Producer and Director : Salim Ahmed,Adaminte Makan Abu
Second Best Film,Producer and Director : Lenin Rajendran,Makaramanju
Best Director,Shyamaprasad,Elektra
Best Actor,Salim Kumar,Adaminte Makan Abu
Best Actress,Kavya Madhavan,Khaddama
Second Best Actor,Biju Menon,T. D. Dasan Std . VI B
Second Best Actress,Mamta Mohandas,Katha Thudarunnu
Best Comedian,Suraj Venjaramoodu,Oru Naal Varum
Best Child Artist,Krishna Pathmakumar,Janaki
Best Story,Mohan Sharma,Gramam
Best Cinematography,Shehnad Jalal M J Radhakrishnan,"Chitrasoothram , Veettilekkulla Vazhi"
Best Screenplay,Salim Ahamed,Adaminte Makan Abu
Best Lyrics,Rafeeq Ahamed,Sadgamaya
Best Music Director,M. Jayachandran,Karayilekku Oru Kadal Dooram
Best Male Playback Singer,Hariharan,Paattinte Palazhy
Best Female Playback Singer,Rajalakshmy,Janakan
