Rank,Airport,Passengers 2018,Flight,Top carriers
1,Osaka-Kansai,"1,200,457","8,016","Air Busan , Eastar Jet , Jeju Air , Jin Air , Korean Air , Peach Aviation , T'way Air"
2,Fukuoka,"1,101,085","6,296","Air Busan , Jeju Air , Korean Air"
3,Taipei-Taoyuan,"769,407","4,917","Air Busan , China Airlines , Jeju Air , Korean Air , Tigerair Taiwan"
4,Tokyo-Narita,"751,791","5,089","Air Busan , Japan Airlines , Jeju Air , Korean Air"
5,Bangkok-Suvarnabhumi,"632,993","3,377","Eastar Jet , Jeju Air , Jin Air , Korean Air , Thai Airways International , T'way Air"
6,Da Nang,"630,273","3,996","Air Busan , Asiana Airlines , Jin Air , Korean Air , T'way Air"
7,Hong Kong,"371,133","2,431","Air Busan , Cathay Dragon , Hong Kong Express Airways , Korean Air"
8,Shanghai-Pudong,"364,181","2,808","Asiana Airlines , China Eastern Airlines , Korean Air , Shanghai Airlines"
9,Guam,"357,604","2,298","Air Busan , Jeju Air , Jin Air"
10,Cebu,"332,786","2,074","Air Busan , Jeju Air , Jin Air"
11,Hanoi,"329,713","1,608","Air Busan , Korean Air , T'way Air , Vietnam Airlines , VietJet Air"
12,Beijing-Capital,"281,802","2,432","Air China , Asiana Airlines , Korean Air"
13,Qingdao,"226,679","1,454","Air Busan , Korean Air"
14,Sapporo-Chitose,"207,424","1,469","Air Busan , Eastar Jet , Jin Air , Korean Air"
15,Ho Chi Minh City,"189,098",747,"Vietnam Airlines , VietJet Air"
16,Manila,"186,941",896,"Asiana Airlines , Philippine Airlines"
17,Okinawa-Naha,"163,505","1,107","Asiana Airlines , Jeju Air , Jin Air"
18,Kuala Lumpur-International,"156,970",574,AirAsia X
19,Nagoya-Chūbu Centrair,"153,557","1,110","Air Busan , Korean Air"
20,Kota Kinabalu,"116,101",729,Eastar Jet
