Medal,Name,Games,Sport,Event
Silver,Maha Bargouthi,1984 Stoke Mandeville/New York City,Athletics,Women 's shot put 1A
Bronze,Aida Sheshani,1984 Stoke Mandeville/New York City,Athletics,Women 's 100m 1B
Bronze,Aida Sheshani,1984 Stoke Mandeville/New York City,Athletics,Women 's 200m 1B
Silver,Imad Gharbawi,1996 Atlanta,Athletics,Men 's discus F52
Gold,Maha Al-Bargouti,2000 Sydney,Table tennis,Women 's singles 1-2
Silver,Jamil Elshebli,2004 Athens,Athletics,Men 's shot put F57
Bronze,Khetam Abuawad Maha Al Bargouti Fatemah Al-Azzam,2004 Athens,Table tennis,Women 's teams 4-5
Silver,Jamil Elshebli,2008 Beijing,Athletics,Men 's shot put F57/58
Silver,Omar Qarada,2008 Beijing,Powerlifting,Men 's -48kg
Bronze,Mu'taz Aljuneidi,2008 Beijing,Powerlifting,Men 's -75kg
Bronze,Khetam Abuawad Fatmeh Al-Azzam,2008 Beijing,Table tennis,Women 's teams 4-5
Silver,Omar Qarada,2016 Rio de Janeiro,Powerlifting,Men 's -49kg
Silver,Tharwat Alhajjaj,2016 Rio de Janeiro,Powerlifting,Women 's -86kg
Bronze,Jamil Elshebli,2016 Rio de Janeiro,Powerlifting,Men 's +107kg
