Name,City,State,Team,First used,Matches
M Chinnaswamy Stadium,Bangalore,Karnataka,Royal Challengers Bangalore,2008,21
PCA Stadium,Mohali,Punjab,Kings XI Punjab,2008,16
Feroz Shah Kotla,Delhi,Delhi,Delhi Capitals,2008,21
Wankhede Stadium,Mumbai,Maharashtra,Mumbai Indians,2008,15
Eden Gardens,Kolkata,West Bengal,Kolkata Knight Riders,2008,21
Sawai Mansingh Stadium,Jaipur,Rajasthan,Rajasthan Royals,2008,17
Rajiv Gandhi International Cricket Stadium,Hyderabad,Telangana,Deccan Chargers Sunrisers Hyderabad,2008,14
MA Chidambaram Stadium,Chennai,Tamil Nadu,Chennai Super Kings,2008,23
DY Patil Stadium,Navi Mumbai,Maharashtra,Mumbai Indians Deccan Chargers Pune Warriors,2008,17
Brabourne Stadium,Mumbai,Maharashtra,Mumbai Indians,2010,7
Sardar Patel Stadium,Ahmedabad,Gujarat,Rajasthan Royals,2010,4
Barabati Stadium,Cuttack,Odisha,Deccan Chargers Kings XI Punjab,2010,6
ACA-VDCA Stadium,Visakhapatnam,Andhra Pradesh,Deccan Chargers Mumbai Indians,,
VCA Stadium,Nagpur,Maharashtra,Deccan Chargers,2010,3
HPCA Stadium,Dharamsala,Himachal Pradesh,Kings XI Punjab,2010,3
Nehru Stadium,Kochi,Kerala,Kochi Tuskers,2011,5
Holkar Cricket Stadium,Indore,Madhya Pradesh,Kochi Tuskers,2011,4
MCA Stadium,Pune,Maharashtra,Pune Warriors India Rising Pune Supergiant Chennai Super Kings,2012,8
JSCA International Cricket Stadium,Ranchi,Jharkhand,Kolkata Knight Riders Chennai Super Kings,2013,7
Shaheed Veer Narayan Singh International Cricket Stadium,Raipur,Chhattisgarh,Delhi Capitals,2013,2
