Year,Horse,Trainer,Owner
2018,Justify,Bob Baffert,"China Horse Club , Head of Plains Partners , Starlight Racing 7 WinStar Farm"
2017,West Coast,Bob Baffert,Gary and Mary West
2016,Arrogate,Bob Baffert,Juddmonte Farms
2015,American Pharoah,Bob Baffert,Zayat Stables
2014,California Chrome,Art Sherman,"Steven Coburn , Perry Martin"
2013,Will Take Charge,D. Wayne Lukas,Willis D. Horton
2012,I 'll Have Another,Doug F. O'Neill,J. Paul Reddam
2011,Animal Kingdom,H. Graham Motion,Team Valor
2010,Lookin At Lucky,Bob Baffert,"Mike Pegram , Karl Watson & Paul Weitman"
2009,Summer Bird,Tim Ice,Dr. K. K. & Dr. V. Devi Jayaraman
2008,Big Brown,Richard E. Dutrow Jr,IEAH Stables & Paul Pompa Jr
2007,Curlin,Steve Asmussen,Stonestreet Stables et al
2006,Bernardini,Thomas Albertrani,Darley Stable
2005,Afleet Alex,Timothy F. Ritchey,Cash Is King Stable
2004,Smarty Jones,John Servis,Roy & Patricia Chapman
2003,Funny Cide,Barclay Tagg,Sackatoga Stable
2002,War Emblem,Bob Baffert,R. L. Reineman / The Thoroughbred Corp
2001,Point Given,Bob Baffert,The Thoroughbred Corp
2000,Tiznow,Jay M. Robbins,Michael Cooper & Cecilia Straub-Rubens
1999,Charismatic,D. Wayne Lukas,Bob & Beverly Lewis
