Program,Free-to-air network,Subscription network,Date
The Gadget Show The Gadget Show,Network Ten,LifeStyle,15 January
Jersey Shore Jersey Shore,7mate,MTV,11 May
Sons of Anarchy Sons of Anarchy,One,Showcase,11 May
"Penguins of Madagascar , The The Penguins of Madagascar",Network Ten,Nickelodeon,13 May
Power Rangers Samurai Power Rangers Samurai,GO !,Nickelodeon,17 July
Teen Mom Teen Mom,GO !,MTV,2 October
Jeopardy ! Jeopardy !,One,W,24 October
Britain 's Next Top Model Britain 's Next Top Model,Eleven,Fox8,31 October
Beyblade : Medal Masters Beyblade : Medal Masters,Network Ten,Cartoon Network,8 November
The Glades The Glades,Network Ten,W,28 November
Bakugan : Mechtanium Surge Bakugan : Mechtanium Surge,Network Ten,Cartoon Network,14 December
