Year,Title,Role,Notes
1996-2000,NYPD Blue,Gina Martinez,22 Episodes
1999,Law & Order : Special Victims Unit,Angela Torres/Sho-Ling Fu,Episode : Stocks & Bondage
2000,Resurrection Blvd,Darcy,2 Episodes
2000-2001,Titans,Samantha Sanchez,13 Episodes
2001,ER,Rena Trujillo,5 Episodes
2001,Strong Medicine,Carmen Infante,Episode : Relief
2001,Dawson 's Creek,Karen Torres,7 Episodes
2003,24,Carrie Turner,11 Episodes
2003,The Lyon 's Den,Lisa Falward,Episode : Blood
2005,The Dead Zone,Eva Cortez,Episode : Grains of Sand
2006-2007,The Nine,Eva Rios,13 Episodes
2008,Cashmere Mafia,Alicia Lawson,6 Episodes
2008,Numb3rs,Estella Ramirez,Episode : Thirty-Six Hours
2009-2010,V,Valerie Stevens,10 Episodes
2013,NCIS,Rebecca Childis,Episode : Chasing Ghosts
2017,Major Crimes,Sarah Galvez,4 Episodes
