Event,Venue,City,Joined 7s Series,Tournament began,Scheduled
United Arab Emirates,The Sevens,Dubai,1999-2000,1999,December
South Africa,Cape Town Stadium,Cape Town,2004-05,1999,December
New Zealand,Waikato Stadium,Hamilton,1999-2000,2000,Jan / Feb
Australia,Bankwest Stadium,Sydney,1999-2000,1986*,Jan / Feb
USA,Dignity Health Sports Park,"Carson , California ( Los Angeles )",2004-05,2004,March
Canada,BC Place,Vancouver,2015-16,2016,March
Hong Kong,Hong Kong Stadium,Hong Kong,1999-2000,1976,April
Singapore,National Stadium,Singapore,2015-16,2002,April
England,Twickenham,London,2000-01,2001,May
France,Stade Jean-Bouin,Paris,2015-16,1996,June
