Album title,Language,Year,Singers
Anand Pahat,Marathi,1999,Saleel Kulkarni
Tarihi Vasant Fulato,Marathi,1999,"Saleel Kulkarni , Ravindra Sathe , Shrikant Pargaonkar"
25 Chhan Chhan Baal Geete,Marathi,1999,Saleel Kulkarni and others
Ayushyawar Bolu Kahi,Marathi,2003,Sandeep Khare Saleel Kulkarni
Namanjoor,Marathi,2005,Sandeep Khare Saleel Kulkarni
Dibadi Dipang,Marathi,2007,Sandeep Khare Saleel Kulkarni
Sang Sakhya Re,Marathi,2006,Sandeep Khare Saleel Kulkarni
Sandhiprakashat,Marathi,2008,Saleel Kulkarni
Hrudayamadhale Gaane,Marathi,2009,Bela Shende
Damalelya Babachi Kahani,Marathi,2010,Sandeep Khare Saleel Kulkarni
Kshan Moharate,Marathi,2008,"Hrishikesh Ranade , Prajakta Ranade"
Barase Badariya,Marathi,2008,Sawni Shende
Mazech Geet Mi Gate,Marathi,2007,Suvarna Mategaonkar
Mazya Mana,Marathi,2000,Bela Shende
Haribhajan,Marathi,2007,Sanjeev Abhyankar
Aggobai Dhaggobai,Marathi,2007,"Sandeep Khare , Saleel Kulkarni , Anjali Kulkarni"
Aggobai Dhaggobai 2,Marathi,2011,"Sandeep Khare , Saleel Kulkarni , Anjali Kulkarni , Shubhankar Kulkarni"
Kshana Amrutache,Marathi,2013,"Saleel Kulkarni , Lata Mangeshkar"
Ja Dile Man Tula,Marathi,2014,"Saleel Kulkarni , Sandeep Khare"
Diva Lagu De Re Deva,Marathi,2015,Aarya Ambekar
