Team,Location,Venue,Capacity,Position in 1996
MPKC Mozyr,Mozyr,Yunost Stadium ( Mozyr ),"6,500",1
Dinamo Minsk,Minsk,Traktor Stadium,"25,000",2
Belshina Bobruisk,Bobruisk,Spartak Stadium ( Bobruisk ),"2,500",3
Dinamo-93 Minsk,Minsk,Traktor Stadium,"25,000",4
Lokomotiv-96 Vitebsk,Vitebsk,Dinamo Stadium ( Vitebsk ),"5,500",5
Ataka Minsk,Minsk,Traktor Stadium,"25,000",6
Naftan-Devon Novopolotsk,Novopolotsk,Atlant Stadium,"6,500",7
Molodechno,Molodechno,City Stadium ( Molodechno ),"5,500",8
Dnepr Mogilev,Mogilev,Spartak Stadium ( Mogilev ),"11,200",9
Dinamo Brest,Brest,Dinamo Stadium ( Brest ),"2,400",10
Shakhtyor Soligorsk,Soligorsk,Stroitel Stadium,"5,000",11
Torpedo Minsk,Minsk,Torpedo Stadium ( Minsk ),"5,000",12
Neman Grodno,Grodno,Neman Stadium,"15,000",13
Torpedo-Kadino Mogilev,Mogilev,Torpedo Stadium ( Mogilev ),"3,500",14
Transmash Mogilev,Mogilev,Spartak Stadium ( Mogilev ),"11,200","First league , 1"
Kommunalnik Slonim,Slonim,Yunost Stadium ( Slonim ),"1,200","First league , 2"
