Rank,Athlete,Nationality,Time
1,Joyce Smith,England,16:11
2,Eileen Claugus,United States,16:13
3,Rita Ridley,England,16:19
4,Josee van Santberghe,Belgium,16:20
5,Margaret Coomber,Scotland,16:31
6,Paola Pigni,Italy,16:34
7,Sheila Carey,England,16:42
8,Jean Lochhead,Wales,16:43
9,Caroline Walker,United States,16:45
10,Giuseppina Torello,Italy,16:47
11,Ann Yeoman,England,16:49
12,Joan Allison,England,16:52
13,Mary Lynch,Ireland,16:55
14,Beth Bonner,United States,16:57
15,Deborah Roth,United States,17:03
16,Tena Anex,United States,17:03
17,Mary Stewart,Scotland,17:05
18,Angela Lovell,England,17:09
19,Christine Haskett,Scotland,17:10
20,Deirdre Foreman,Ireland,17:11
