Distance,Mark,Date,Location
1500 m,3:53.0,23 August 1923,Stockholm
1500 m ( indoor ),3:56.2,6 January 1925,New York City
Mile ( indoor ),4:13.5,6 January 1925,New York City
Mile ( indoor ),4:12.0,7 March 1925,Buffalo
2000 m ( indoor ),5:33.0,17 January 1925,New York City
2000 m ( indoor ),5:30.2,28 January 1925,New York City
2000 m ( indoor ),5:22.4,12 February 1925,Buffalo
3000 m,8:27.8,17 September 1923,Copenhagen
3000 m ( indoor ),8:26.8,15 January 1925,New York City
3000 m ( indoor ),8:26.4,12 March 1925,New York City
2 miles ( indoor ),9:08.0,7 February 1925,New York City
2 miles ( indoor ),8:58.2,14 February 1925,New York City
3 miles,14:14.4,10 August 1922,Kokkola
3 miles,14:08.4,12 September 1922,Stockholm
3 miles,14:02.0,19 June 1924,Helsinki
5000 m ( indoor ),14:44.6,6 January 1925,New York City
4 miles,19:18.8,31 August 1924,Kuopio
5 miles,24:13.2,31 August 1924,Kuopio
6 miles,29:41.2,22 June 1921,Stockholm
6 miles,29:07.1,31 August 1924,Kuopio
