Name,Year,Location,Style,Architect,Notes
Alpha Phi Alpha Fraternity House,c. 1918,293 Eliot St,American Foursquare,Unknown,"Since May 15 , 1939 , this building houses Gamma Lambda Chapter , a local chapter of Alpha Phi Alpha African-American Greek-lettered fraternity . Detroit 's Gamma Lambda Chapter , founded in 1919 , served as a focal point for black social , cultural , educational , and community service activities in an era when there were few other outlets . The house , built around 1918 , was designated a Michigan State Historic Site on August 30 , 1977"
Bonstelle Theatre,1902,3424 Woodward Ave,"Beaux-Arts , Greek Revival",Albert Kahn ; C. Howard Crane ( remodeling ),"In accordance with the wishes of rabbi Leo M. Franklin , Albert Kahn designed this neoclassical temple on Woodward Avenue for Detroit 's Jewish community . Groundbreaking began on November 25 , 1901 , with the ceremonial cornerstone laid on April 23 , 1902 . After the construction of a new synagogue at 8801 Woodward , in 1925 the Temple Beth El was converted into a theater by C. Howard Crane ; the façade was later strongly altered with the 1936 Woodward widening . The structure - the oldest synagogue building in Detroit - is listed on the National Register of Historic Places"
Max Broock House,1905,233 Erskine St,Edwardian,Mueller & Mildner,"This house ( pictured left ) was built in 1905 for Max Broock , a real estate and insurance broker whose offices were located in the Breitmeyer-Tobin Building . Designed by the Detroit firm of Mueller & Mildner , the structure reflects strongly the transitional character of many houses of the Edwardian period - part Victorian , and part twentieth century"
Frederick Butler House,1882,291 Edmund Pl,"French Renaissance Revival , Second Empire",William Scott & Co,"Built in 1882 , the Frederick Butler House is a French Renaissance Second Empire style mansion containing 8,400 sq ft ( 780 m ) ; the original owner , Frederick Butler , was a banker . It was restored and converted to condos in 2006 . The house , located within the Woodward East Historic District , is presently now as Edmund Place"
James V. Campbell House,1877,261 Alfred St,Italianate,Unknown,"James Valentine Campbell ( 1823-1890 ) was secretary of the Board of Regents of the University of Michigan , justice of the Michigan Supreme Court , and Marshall Professor of Law at the University of Michigan . The house was occupied by the Campbell family from 1877 to 1891 . The building is within the Woodward East Historic District"
The Carlton,1923,2915 John R. St. at Edmund,"Beaux-Arts , Chicago School",Louis Kamper,"The Carlton Plaza Hotel opened on May 31 , 1924 ; designed by famed Detroit architect Louis Kamper , it was his 12th major commission , and his firm 's first documented hotel project . During the Jazz Age , the hotel became a popular gathering place for wealthy and affluent African-Americans , including some of the biggest names in jazz . In 1950 , Ebony magazine described the Carlton as the most beautifully decorated and most elaborately furnished hotel for Negroes anywhere in the U.S. ; in May 1960 , Jet heralded it as the premier destination for the discriminating negro . By the 1980s , the hotel had progressively fell into decay ; taken over by the City of Detroit and shuttered in the 1990s , it was bought by private investors and renovated as condominiums in 2005"
Carola Building,1912,78 Watson St,Renaissance Revival,,Renovated as condominiums
Lyman Cochrane House,1870,216 Winder St,Italianate,,"This house is a relatively rare example of residential Italianate architecture in Detroit . It was originally built for eye doctor John F. Terry , but in 1871 was sold to Lyman Cochrane . Cochrane was a state senator and Superior Court Judge , serving in this capacity until his death in 1879"
Crystal lofts,1919,3100 Woodward Ave. at Watson,Art Deco,,"Originally constructed as a ballroom ( the Crystal Palace ) , the building was recently renovated as condominiums . The Art Deco façade was added in 1936"
J.P. Donaldson House,1879,82 Alfred St,Queen Anne,Mason & Rice ; Gordon W. Lloyd ( remodeling ),"This house was built in 1879 for James P. Donaldson , a ship chandler . In 1892 , David Charles Whitney ( son of David Whitney Jr. ) acquired the home , which was completely renovated by Gordon W. Lloyd . At the time it was said to be one of the most substantial homes in Detroit and valued at $ 30,000 ( today $ 750,000± ) . The home had several other owners before becoming a rooming house ; in 2012 the building was sold to a private buyer for $ 110,000 . In the same year the mansion has been a movie set for the vampire film Only Lovers Left Alive , directed by Jim Jarmusch"
