Rank,Rider,Team,Time
1,Greg LeMond ( USA ),La Vie Claire,110h 35 ' 19
2,Bernard Hinault ( FRA ),La Vie Claire,+ 3 ' 10
3,Urs Zimmermann ( SUI ),Carrera Jeans-Vagabond,+ 10 ' 54
4,Andrew Hampsten ( USA ),La Vie Claire,+ 18 ' 44
5,Claude Criquielion ( BEL ),Hitachi-Robland,+ 24 ' 36
6,Ronan Pensec ( FRA ),Peugeot-Shell,+ 25 ' 59
7,Niki Rüttimann ( SUI ),La Vie Claire,+ 30 ' 52
8,Álvaro Pino ( ESP ),Zor-BH,+ 33 ' 00
9,Steven Rooks ( NED ),PDM-Concorde,+ 33 ' 22
10,Yvon Madiot ( FRA ),Système U,+ 33 ' 27
