Name,Country and territory,Place,Footprint,Description
AvtoVAZ main assembly building,Russia,Tolyatti,"887,800 m ( 9,556,000 sq ft )",Automobile factory for Lada cars
Beijing Daxing International Airport terminal building,China,Beijing,"700,000 m ( 7,500,000 sq ft )",Terminal building of Beijing Daxing International Airport
Jaguar Land Rover Solihull plant,United Kingdom,Solihull,"526,000 m ( 5,660,000 sq ft )",Automobile factory for Jaguar Land Rover cars
Aalsmeer Flower Auction Building,Netherlands,Aalsmeer,"518,000 m ( 5,580,000 sq ft )",
The Dubai Mall,United Arab Emirates,Dubai,"500,000 m ( 5,400,000 sq ft )",
Nissan Nissan Motor Manufacturing UK,United Kingdom,Sunderland,"496,000 m ( 5,340,000 sq ft )",Automobile factory for Nissan cars
Tesla Factory,United States,"Fremont , California","427,354 m ( 4,600,000 sq ft )",Automobile production facility of Tesla Motors
Boeing Everett Factory,United States,"Everett , Washington","398,000 m","Boeing 's assembly site for a selection of the company 's largest aircraft , originally built for construction of the 747"
Daikin Texas Technology Park,United States,"Waller , Texas","393,000 m ( 4.23 million sq ft )",Factory and distribution center for heating and air conditioning products
Michelin Distribution Center,United States,"Spartanburg , South Carolina","371,612 m ( 4 million sq ft )",Michelin 's distribution center
Great Mosque of Mecca,Saudi Arabia,Hijaz,"356,000 m ( 4,300,000 sq ft )","Surrounds Islam 's holiest place , the Kaaba"
Toyota Toyota Manufacturing UK,United Kingdom,Derby,"334,000 m ( 3,600,000 sq ft )",Automobile factory for Toyota cars
Wolfsburg Volkswagen Plant Building 1B,Germany,"Wolfsburg , Niedersachsen","300,000 m ( 3,200,000 sq ft )",Car factory
Detroit Diesel,United States,"Detroit , Michigan","300,000 m ( 3,200,000 sq ft )","Daimler Trucks North America 's North American powertrain manufacturing plant , producing engines , transmissions , and driveline components"
Nike - North America Logistics Center,United States,"Memphis , Tennessee","260,000 m ( 2.8 million sq ft )",
Wolfsburg Volkswagen Plant Building 12,Germany,"Wolfsburg , Niedersachsen","250,000 m ( 2,700,000 sq ft )",Car factory
John Deere North American Parts Distribution Center,United States,"Milan , Illinois","246,000 m ( 2,650,000 sq ft )",
Rivian Automotive Assembly Plant,United States,"Normal , Illinois","220,000 m","As of 2017 , the company planned for this plant to be the primary North American location for Rivian 's manufacturing"
Indonesia Convention Exhibition,Indonesia,Bumi Serpong Damai,"220,000 m","The biggest and most spacious exhibition , convention and entertainment center in Indonesia , spanning a total area of over 220,000 square meters . It has 10 exhibition halls , a convention hall , outdoor exhibition space , pre-function lobby , and 33 meeting , with parking capacity of up to 5,000 cars"
Belvidere Assembly Plant,United States,"Belvidere , Illinois","210,000 m",Assembles the Jeep Cherokee
