Year,Award and honour,Government
1997,Best Indian Citizen Award,Government of India
2002,Rajiv Gandhi Award for Excellence in the Field of Entertainment,Government of India
2005,Padma Shri,Government of India
2007,Ordre des Arts et des Lettres,Government of France
2008,Darjah Mulia Seri Melaka,Government of Malacca ( State of Malaysia )
2009,Black belt honorary in taekwondo,Government of South Korea
2011,LEtoile dOr,Government of Morocco
2012,BrandLaureate Legendary Award,Government of Malaysia
2012,Wissame Al Kafaa Al Fikria,Government of Morocco
2013,Goodwill ambassador,Government of South Korea
2014,Légion d'honneur,Government of France
2014,Global Diversity Award,British House of Commons
