Name ( English / Spanish ),Capital,Area ( km ),Population ( 2017 census )
Arica and Parinacota Región de Arica y Parinacota,Arica,"16,873.3","226,068"
Tarapacá Región de Tarapacá,Iquique,"42,225.8","330,558"
Antofagasta Región de Antofagasta,Antofagasta,"126,049.1","607,534"
Atacama Región de Atacama,Copiapó,"75,176.2","286,168"
Coquimbo Región de Coquimbo,La Serena,"40,579.9","757,586"
Valparaíso Región de Valparaíso,Valparaíso,"16,396.1","1,815,902"
Santiago Región Metropolitana de Santiago,Santiago,"15,403.2","7,112,808"
O'Higgins Región del Libertador General Bernardo O'Higgins,Rancagua,"16,387.0","914,555"
Maule Región del Maule,Talca,"30,296.1","1,044,950"
Ñuble Región de Ñuble,Chillán,"13,178.5","480,609"
Biobío Región del Biobío,Concepción,"23,890.2","1,556,805"
Araucanía Región de La Araucanía,Temuco,"31,842.3","957,224"
Los Ríos Región de Los Ríos,Valdivia,"18,429.5","384,837"
Los Lagos Región de Los Lagos,Puerto Montt,"48,583.6","828,708"
Aysén Región Aysén del General Carlos Ibáñez del Campo,Coihaique,"108,494.4","103,158"
Magallanes Región de Magallanes y de la Antártica Chilena,Punta Arenas,"132,291.1","166,533"
