Year,Film,Role
1987,Sammy and Rosie Get Laid,Partygoer
1992,A Dangerous Man : Lawrence After Arabia,Emir Feisal I
2000,Vertical Limit,Kareem Nazir
2002,Reign of Fire,Ajay
2004,The Hamburg Cell,Khalid Sheikh Mohammed
2005,Kingdom of Heaven,Imad ad-Din al-Isfahani
2005,Syriana,Prince Nasir Al-Subaai
2006,Hannibal,Hannibal
2007,The Nativity Story,Angel Gabriel
2007,The Last Legion,Theodorus Andronikus
2008,A Lost Man,Fouad Saleh
2008,Doomsday,Hatcher
2008,Espion ( s ),Malik
2009,Cairo Time,Tareq Khalifa
2010,Miral,Jamal
2010,4.3.2.1,Robert
2010,Clash of the Titans,Hermes
2012,Inescapable,Adib Abdel-Kareem
2013,The Fifth Estate,Dr. Tarek Haliseh
2013,May in the Summer,Ziad
