Year,Title,Publisher,Genre,Platform ( s )
2008,Rez HD,Q Entertainment,"Rail shooter , music game",Xbox 360
2010,The 3rd Birthday,Square Enix,"Role-playing shooter , survival horror",PlayStation Portable
2012,Metal Gear Solid : Snake Eater 3D,Konami,Stealth action,Nintendo 3DS
2012,Demons ' Score,Square Enix,Rhythm action game,"Android , iOS"
2012,Ōkami HD,Capcom,Action adventure,PlayStation 3
2012,E.X . Troopers,Capcom,Third-person shooter,PlayStation 3
2012,Metal Gear Solid : Social Ops,Konami,"Action , Turn Based Strategy , Trading Card Game","Android , iOS"
2013,Zone of the Enders : The 2nd Runner HD Edition,Konami,Action,PlayStation 3
2013,The Wonderful 101,Nintendo,Action adventure,Wii U
2013,The Legend of Zelda : The Wind Waker HD,Nintendo,Action adventure,Wii U
2014,Monster Hunter Freedom Unite for iOS,Capcom,Action role-playing game,iOS
2014,King Radish 's Ambition,HexaDrive,Tower defense,"Android , iOS"
2015,Final Fantasy Type-0 HD,Square Enix,Action role-playing game,"PlayStation 4 , Xbox One , Microsoft Windows"
2015,Rampage Land Rankers,Square Enix,Role-playing game,"Android , iOS"
2016,Final Fantasy XV,Square Enix,Role-playing game,"PlayStation 4 , Xbox One , Microsoft Windows"
2017,Super Bomberman R,Konami,Action,Nintendo Switch
2017,Mario Sports Superstars,Nintendo,Sports,Nintendo 3DS
2017,Resident Evil 7 : Not a Hero,Capcom,"First-person shooter , survival horror","PlayStation 4 , Xbox One , Microsoft Windows"
2017,Ōkami HD,Capcom,Action adventure,"PlayStation 4 , Xbox One , Microsoft Windows"
2019,Monkey King : Hero Is Back,THQ Nordic /Oasis Games,Action,"PlayStation 4 , Microsoft Windows"
