Release date,Title,Director ( s )
"August 5 , 1928",Forgotten Faces,Victor Schertzinger
"March 14 , 1929",Chinatown Nights,William A. Wellman
"May 27 , 1929",The Man I Love,William A. Wellman
"June 12 , 1929",The Four Feathers,Merian C. Cooper Ernest B. Schoedsack Lothar Mendes
"August 15 , 1929",The Dance of Life,John Cromwell A. Edward Sutherland
"September 14 , 1929",Fast Company,A. Edward Sutherland
"February 2 , 1930",Street of Chance,John Cromwell
"March 14 , 1930",Sarah and Son,Dorothy Arzner
"March 27 , 1930",Honey,Wesley Ruggles
"May 1 , 1930",The Texan,John Cromwell
"July 18 , 1930",For the Defense,John Cromwell
"July 23 , 1930",Manslaughter,George Abbott
"November 15 , 1930",Laughter,Harry d'Abbadie d'Arrast
