Year,Winner ( average in final ),Score,Runner-Up ( average in final )
1995,Francis Hoenselaar,3 - 2,Mandy Solomons
1996,Deta Hedman,3 - 1,Francis Hoenselaar
2008,Lisa Ashton ( 78.42 ),2 - 0,Trina Gulliver ( 65.91 )
2009,Julie Gore ( 86.07 ),2 - 0,Tricia Wright ( 81.75 )
2010,Trina Gulliver ( 78.60 ),2 - 1,Francis Hoenselaar ( 71.79 )
2011,Deta Hedman ( 81.99 ),2 - 0,Aileen de Graaf ( 68.25 )
2012,Anastasia Dobromyslova ( 74.34 ),2 - 1,Aileen de Graaf ( 84.69 )
2013,Aileen de Graaf ( 74.34 ),2 - 0,Anastasia Dobromyslova ( 74.34 )
2014,Anastasia Dobromyslova ( 78.09 ),2 - 1,Aileen de Graaf ( 71.88 )
2015,Fallon Sherrock ( 88.41 ),2 - 0,Anastasia Dobromyslova ( 73.95 )
2016,Anastasia Dobromyslova ( 77.60 ),2 - 1,Aileen de Graaf ( 70.71 )
2017,Aileen de Graaf ( 75.78 ),2 - 0,Deta Hedman ( 66.31 )
2018,Lisa Ashton ( 88.68 ),2 - 1,Fallon Sherrock ( 84.58 )
