#,Artist,Artist 's nationality,Title
1,Helene Fischer,Germany,Atemlos durch die Nacht
2,Pharrell Williams,United States,Happy
3,Mr Probz,Netherlands,Waves ( Robin Schulz Remix )
4,Andreas Bourani,Germany,Auf uns
5,Mark Forster featuring Sido,Germany,Au revoir
6,Lilly Wood and the Prick & Robin Schulz,France Germany,Prayer in C ( Robin Schulz Remix )
7,Clean Bandit featuring Jess Glynne,United Kingdom,Rather Be
8,Ed Sheeran,United Kingdom,I See Fire
9,Cro,Germany,Traum
10,OneRepublic,United States,Love Runs Out
11,Katy Perry featuring Juicy J,United States,Dark Horse
12,Meghan Trainor,United States,All About That Bass
13,Marlon Roudette,United Kingdom,When the Beat Drops Out
14,David Guetta featuring Sam Martin,France United States,Lovers on the Sun
15,George Ezra,United Kingdom,Budapest
16,John Legend,United States,All of Me
17,Calvin Harris,United Kingdom,Summer
18,Nico & Vinz,Norway,Am I Wrong
19,Pitbull featuring Kesha,United States,Timber
20,Kiesza,Canada,Hideaway
