Season,Winner,Team,League,Finalists
1987-88,Alain Vigneault,Hull Olympiques,QMJHL,"Dick Todd ( OHL ) , Marcel Comeau ( WHL )"
1988-89,Joe McDonnell,Kitchener Rangers,OHL,Ron Kennedy ( WHL )
1989-90,Ken Hitchcock,Kamloops Blazers,WHL,Joe McDonnell ( OHL )
1990-91,Jos Canale,Chicoutimi Saguenéens,QMJHL,"George Burnett ( OHL ) , Tom Renney ( WHL )"
1991-92,Bryan Maxwell,Spokane Chiefs,WHL,George Burnett ( OHL )
1992-93,Marcel Comeau,Tacoma Rockets,WHL,"Gary Agnew ( OHL ) , Guy Chouinard ( QMJHL )"
1993-94,Bert Templeton,North Bay Centennials,OHL,"Richard Martel ( QMJHL ) , Lorne Molleken ( WHL )"
1994-95,Craig Hartsburg,Guelph Storm,OHL,"Michel Therrien ( QMJHL ) , Don Nachbaur ( WHL )"
1995-96,Bob Lowes,Brandon Wheat Kings,WHL,"Brian Kilrea ( OHL ) , Jean Pronovost ( QMJHL )"
1996-97,Brian Kilrea,Ottawa 67 's,OHL,"Clement Jodoin ( QMJHL ) , Brent Peterson ( WHL )"
1997-98,Dean Clark,Calgary Hitmen,WHL,"Gary Agnew ( OHL ) , Guy Chouinard ( QMJHL )"
1998-99,Guy Chouinard,Quebec Remparts,QMJHL,"Peter DeBoer ( OHL ) , Don Hay ( WHL )"
1999-00,Peter DeBoer,Plymouth Whalers,OHL,"Doris Labonté ( QMJHL ) , Todd McLellan ( WHL )"
2000-01,Brent Sutter,Red Deer Rebels,WHL,"Dave MacQueen ( OHL ) , Denis Francoeur ( QMJHL )"
2001-02,Bob Lowes,Regina Pats,WHL,"Craig Hartsburg ( OHL ) , Real Paiement ( QMJHL )"
2002-03,Marc Habscheid,Kelowna Rockets,WHL,"Brian Kilrea ( OHL ) , Shawn MacKenzie ( QMJHL )"
2003-04,Dale Hunter,London Knights,OHL,"Benoit Groulx ( QMJHL ) , Kevin Constantine ( WHL )"
2004-05,Cory Clouston,Kootenay Ice,WHL,"Dale Hunter ( OHL ) , Richard Martel ( QMJHL )"
2005-06,Willie Desjardins,Medicine Hat Tigers,WHL,"Dave Barr ( OHL ) , Andre Tourigny ( QMJHL )"
2006-07,Clement Jodoin,Lewiston Maineiacs,QMJHL,"Mike Vellucci ( OHL ) , Cory Clouston ( WHL )"
