Date,Co-Hosts,Guests/Segments
February 1,Regis Philbin & Kelly Ripa,"Lisa Kudrow , Brooke Burke , Twitter Week"
February 2,Regis Philbin & Kelly Ripa,"Julianne Hough , Minka Kelly , Larry the Cable Guy , Twitter Week"
February 3,Regis Philbin & Kelly Ripa,"Justin Bieber , Twitter Week"
February 4,Regis Philbin & Kelly Ripa,"Bill Paxton , Annette Bening , Twitter Week"
February 7,Regis Philbin & Kelly Ripa,"Matthew Perry , Chris Colfer , Char Margolis , Regis and Kelly 's 10th Anniversary Week"
February 8,Regis Philbin & Kelly Ripa,"Martin Lawrence , Donald Trump , Regis and Kelly 's 10th Anniversary Week"
February 9,Regis Philbin & Kelly Ripa,"Michelle Obama , David Letterman , Regis and Kelly 's 10th Anniversary Week"
February 10,Regis Philbin & Kelly Ripa,"Elton John , Jerry Seinfeld , Regis and Kelly 's 10th Anniversary Week"
February 11,Regis Philbin & Kelly Ripa,"Adam Sandler , Anderson Cooper , Regis and Kelly 's 10th Anniversary Week"
February 14,Regis Philbin & Kelly Ripa,"Michael Caine , Diane Kruger , World 's Greatest Love Story Week"
February 15,Regis Philbin & Kelly Ripa,"Jeff Probst , Josh Groban , World 's Greatest Love Story Week"
February 16,Regis Philbin & Kelly Ripa,"Forest Whitaker , Alex Trebek , World 's Greatest Love Story Week"
February 17,Regis Philbin & Kelly Ripa,"William H. Macy , World 's Greatest Love Story Week"
February 18,Regis Philbin & Kelly Ripa,"January Jones , World 's Greatest Love Story Week"
February 21,Regis Philbin & Kelly Ripa,"David Spade , Hayden Panettiere , Good Charlotte"
February 22,Regis Philbin & Kelly Ripa,"Kiefer Sutherland , Betty White"
February 23,Regis Philbin & Kelly Ripa,"Amy Poehler , Nicole Polizzi"
February 24,Regis Philbin & Kelly Ripa,"Kim Cattrall , Jason Patric"
February 25,Regis Philbin & Kelly Ripa,"Thomas Gibson , Regis and Kelly 's Run Across America with Dean Karnazes begins"
February 28,Regis Philbin & Kelly Ripa,"Emily Blunt , Topher Grace"
