Ride,Year opened,Manufacturer,Description,Thrill level
Cedar Downs Racing Derby,1967,Prior and Church,"A high-speed , circular ride resembling a carousel themed to horse racing . It is one of only two remaining installations of its kind still operating in the United States . Manufactured in 1920 by Prior and Church , the ride was sold to Cedar Point in 1965 . It was originally located at the defunct Euclid Beach Park in east Cleveland , where it was called Great American Racing Derby , and is listed on the National Register of Historic Places",3
Dodgem,1970,Soli of Italy,A classic bumper cars attraction,4
Matterhorn,1972,Mack Rides,A matterhorn circular ride that swings riders as it moves in a clockwise motion while traveling up and down,3
maXair,2005,HUSS Park Attractions,"A Giant Frisbee ride , it is one of only two Giant Frisbees made by HUSS in the world",5
Monster,1970,Eyerly Aircraft Company,A standard monster ride,3
Ocean Motion,1981,HUSS Park Attractions,A swinging pirate ship ride that reaches a height of 65 feet ( 20 m ),3
Pipe Scream,2014,Zamperla,"A Disk ' O ride where a single car travels along a 302-foot ( 92 m ) long , U-shaped track , reaching a height of 43 feet ( 13 m )",4
Power Tower,1998,S & S Worldwide,"A combo drop tower ride featuring both a Space Shot and a Turbo Drop . Power Tower is the only four-towered drop tower ride in the world , devoting two towers to each drop cycle",5
Professor Delbert 's Frontier Fling,1996,Ride Entertainment Group,A 152 feet ( 46 m ) dual arch Skycoaster model . Operated as Ripcord in Challenge Park from 1996-2016 . This is an upcharge attraction,5
Scrambler,1960,Eli Bridge Company,A twist ride that is one of the oldest rides operating at Cedar Point,3
Skyhawk,2006,S & S Worldwide,"A Screamin ' Swing ride , which is currently the world 's largest swinging ride",5
SlingShot,2014,Funtime,A 236 feet ( 72 m ) tall Reverse bungee ride that launches riders up 360 feet ( 110 m ) at speeds up to 62 miles per hour ( 100 km/h ) . SlingShot is an additional charge attraction,5
Super Himalaya,1970,Mack Rides,A circular Music Express ride that travels in a clockwise motion on a track of various elevations,3
Tiki Twirl,1970,Mack Rides,A spinning ride that spins riders in two degrees of motion . Previously known as Calypso prior to its relocation in 2015,3
Troika,1976,HUSS Park Attractions,A Troika ride in which riders reach a height of 25 feet ( 7.6 m ),3
Wave Swinger,1979,Zierer,A wave swinger ride featuring hand painted murals . Riders reach a height of 16 feet ( 4.9 m ),3
WindSeeker,2011,Mondial,A WindSeeker tower swinger ride . It was one of the first of its kind,4
