Theatre,Opening Date,Closing Date,Perfs,Details
"American Theater Company , Chicago","January 30 , 2012","March 11 , 2012",?,Premiere production
"Lincoln Center , Off-Broadway","October 22 , 2012","December 23 , 2012",?,Off-Broadway debut
"Bush Theatre , Off West End","May 22 , 2014","June 22 , 2014",?,Off West End debut
"Lyceum Theatre , Broadway","October 23 , 2014","March 1 , 2015",149,Broadway debut
"Theater Drachengasse , Vienna , Austria","February 9 , 2015","February 21 , 2015",?,Continental Europe Premiere
"Goodman Theatre , Chicago","September 12 , 2015","October 25 , 2015",?,
"Long Wharf Theatre , New Haven","October 14 , 2015","November 8 , 2015",?,
"Mirvish Productions , Toronto , Canada","April 3 , 2016","April 24 , 2016",?,
"Arena Stage , Washington DC","April 22 , 2016","May 29 , 2016",?,
The English Theatre Frankfurt,"March 4 , 2016","May 1 , 2016",50,Germany English language debut
McCarter Theatre,"October 11 , 2016","October 30 , 2016",?,New Jersey debut
"Magnus Theatre , Thunder Bay","October 31 , 2016","November 12 , 2016",?,
