Rank,Airport name,City,Country or territory,IATA / ICAO Code,Passengers
1,Punta Cana International Airport,Punta Cana,Dominican Republic,PUJ/MDPC,"12,788,912"
2,Luis Muñoz Marin International Airport,San Juan,Puerto Rico,SJU/TJSJ,"8,955,797"
3,José Martí International Airport,Havana,Cuba,HAV/MUHA,"5,713,859"
4,Sangster International Airport,Montego Bay,Jamaica,MBJ/MKJS,"4,284,558"
5,Las Americas International Airport,Santo Domingo,Dominican Republic,SDQ/MDSD,"3,687,024"
6,Lynden Pindling International Airport,Nassau,The Bahamas,NAS/MYNN,"3,339,876"
7,Piarco International Airport,Port of Spain,Trinidad and Tobago,POS/TTPP,"2,884,843"
8,Queen Beatrix International Airport,Aruba,Aruba,AUA/TNCA,"2,602,728"
9,Pointe-à-Pitre International Airport,Pointe-à-Pitre,Guadeloupe,PTP/TFFR,"2,361,198"
10,Grantley Adams International Airport,Bridgetown,Barbados,BGI/TBPB,"2,172,603"
11,Martinique Aimé Césaire International Airport,Fort-de-France,Martinique,FDF/TFFF,"1,864,582"
12,Hato International Airport,Curaçao,Curaçao,CUR/TNCC,"1,835,000"
13,Princess Juliana International Airport,St. Maarten,Sint Maarten,SXM/TNCM,"1,795,117"
14,Norman Manley International Airport,Kingston,Jamaica,KIN/MKJP,"1,594,096"
15,Toussaint Louverture International Airport,Port-Au-Prince,Haiti,PAP/MTPP,"1,500,521"
16,Cyril E. King Airport,Saint Thomas,United States Virgin Islands,STT/TIST,"1,403,000"
17,Cibao International Airport,Santiago,Dominican Republic,STI/MDST,"1,400,551"
18,Gustavo Rojas Pinilla International Airport,San Andrés,Colombia,ADZ/SKSP,"1,277,163"
19,Juan Gualberto Gómez Airport,Varadero,Cuba,VRA/MUVR,"1,275,000"
20,Owen Roberts International Airport,Grand Cayman,Cayman Islands,GCM/MWCR,"1,035,826"
