Round,Pick,Player,Position,School
1,13,Lloyd Voss,Defensive End,Nebraska
2,27,Jon Morris,Center,Holy Cross
3,36,Ode Burrell,Back,Mississippi State
3,40,Joe O'Donnell,Guard,Michigan
3,41,Tommy Crutcher,Linebacker,TCU
4,44,Bob Long,Wide Receiver,Wichita State
4,55,Paul Costa,Tackle,Notre Dame
5,60,Duke Carlisle,Quarterback,Texas
5,69,Steve Wright,Offensive Tackle,Alabama
7,97,Dick Herzing,Tackle,Drake
8,111,Ken Bowman,Center,Wisconsin
9,125,John McDowell,Offensive Tackle,St. John 's ( MN )
10,139,Allen Jacobs,Back,Utah
11,153,Jack Petersen,Tackle,Nebraska-Omaha
12,167,Dwain Bean,Back,North Texas State
13,181,Jack Mauro,Tackle,Northern Michigan
14,195,Tom O'Grady,End,Northwestern
15,209,Alex Zerko,Tackle,Kent State
16,223,Andrew Ireland,Back,Utah
17,237,Len St. Jean,End,Northern Michigan
