Year,Horse,Trainer,Owner
1935,Black Helen,William A. Hurley,Edward R. Bradley
1934,Mata Hari,Clyde Van Dusen,Charles T. Fisher
1934,Bazaar,Herbert J. Thompson,Edward R. Bradley
1933,Barn Swallow,Herbert J. Thompson,Edward R. Bradley
1932,Top Flight,Thomas J. Healey,C. V. Whitney
1931,Tambour,Preston M. Burch,Preston M. Burch
1930,Alcibiades,Walter W. Taylor,Hal Price Headley
1930,Snowflake,Jack R. Pryce,Walter J. Salmon Sr
1929,Rose of Sharon,Daniel E. Stewart,Johnson N. Camden Jr
1928,Bateau,Scott P. Harlan,Walter M. Jeffords
1928,Easter Stockings,Kay Spence,Audley Farm Stable
1927,Nimba,George M. Odom,Marshall Field III
1926,Edith Cavell,Scott P. Harlan,Walter M. Jeffords
1926,Black Maria,William H. Karrick,William R. Coe
1925,Florence Nightingale,Robert A. Smith,Walter M. Jeffords
1925,Maid at Arms,Gwyn R. Tompkins,Samuel D. Riddle
1924,Nellie Morse,Albert B. Gordon,Bud Fisher
1924,Princess Doreen,Kay Spence,Audley Farm Stable
1923,Untidy,Scott P. Harlan,Helen Hay Whitney
1922,Emotion,George M. Odom,Robert L. Gerry Sr
