Medal,Name,Sport,Event
Gold,Clas Thunberg,Speed skating,Men 's 1500 m
Gold,Clas Thunberg,Speed skating,Men 's 5000 m
Gold,Julius Skutnabb,Speed skating,"Men 's 10,000 m"
Gold,Clas Thunberg,Speed skating,Men 's all-round
Silver,Ludowika Jakobsson Walter Jakobsson,Figure skating,Pairs
Silver,Väinö Bremer August Eskelinen Heikki Hirvonen Martti Lappalainen,Military patrol,Men 's event
Silver,Julius Skutnabb,Speed skating,Men 's 5000 m
Silver,Clas Thunberg,Speed skating,Men 's 10.000 m
Bronze,Tapani Niku,Cross-country skiing,Men 's 18 km
Bronze,Clas Thunberg,Speed skating,Men 's 500 m
Bronze,Julius Skutnabb,Speed skating,Men 's all-round
