Dates,Tournament,Location,Winner
March 19-21,Florida 's Natural Charity Classic,Florida,Angela Oh ( 1 )
March 26-28,Riviera Nayarit Challenge,Mexico,Cindy LaCrosse ( 1 )
April 9-11,Daytona Beach Invitational,Florida,Kristie Smith ( 1 )
April 23-25,Historic Brownsville Open,Texas,Sophie Jang ( 1 )
April 30 - May 2,Texas Hill Country Classic,Texas,Paola Moreno ( 1 )
May 14-16,Mercedes-Benz of Kansas City Championship,Kansas,Ryann O'Toole ( 1 )
June 4-6,Ladies Titan Tire Challenge,Iowa,Christine Song ( 1 )
June 11-13,The Teva Championship,Ohio,Christine Song ( 2 )
June 17-20,Tate & Lyle Players Championship,Illinois,/ Jennifer Song ( 1 )
June 25-27,City of Hammond Classic,Indiana,Nannette Hill ( 1 )
July 2-4,Falls Auto Group Classic,Kentucky,Ryann O'Toole ( 2 )
July 16-18,ING New England Golf Classic,Connecticut,Tiffany Joh ( 1 )
July 23-25,The International at Concord,New Hampshire,Jenny Shin ( 1 )
July 30 - August 1,Alliance Bank Golf Classic,New York,Cindy LaCrosse ( 2 )
August 6-8,Pennsylvania Classic,Pennsylvania,Dori Carter ( 1 )
August 14-16,Greater Richmond Golf Classic,Virginia,/ Jennifer Song ( 2 )
September 3-5,Price Chopper Tour Championship,New York,Cindy LaCrosse ( 3 )
