Name,Department,Area,Established
Vanoise National Park ( Parc national de la Vanoise ),Savoie,"1,250 km ( 483 sq mi )",6 July 1963
Port-Cros National Park ( Parc national de Port-Cros ),Var,7 km ( 3 sq mi ),14 December 1963
Pyrénées National Park ( Parc national des Pyrénées ),Hautes-Pyrénées and Pyrénées-Atlantiques,457 km ( 176 sq mi ),23 March 1967
Cévennes National Park ( Parc national des Cévennes ),"Lozère , Gard , Ardèche and Aveyron",913 km ( 353 sq mi ),2 September 1970
Écrins National Park ( Parc national des Écrins ),Isère and Hautes-Alpes,918 km ( 354 sq mi ),27 March 1973
Mercantour National Park ( Parc national du Mercantour ),Alpes-Maritimes and Alpes-de-Haute-Provence,685 km ( 264 sq mi ),18 August 1979
Guadeloupe National Park ( Parc national de la Guadeloupe ),Guadeloupe ( overseas department ),173 km ( 67 sq mi ),20 February 1989
Guiana Amazonian Park ( Parc amazonien de Guyane ),French Guiana ( overseas department ),"33,900 km ( 13,089 sq mi )",27 February 2007
Réunion National Park ( Parc national de la Réunion ),Réunion ( overseas department ),"1,054 km ( 407 sq mi )",5 March 2007
Calanques National Park ( Parc national des Calanques ),Bouches-du-Rhône,520 km ( 201 sq mi ),18 April 2012
Forêts National Park ( Parc national des forêts ),Haute-Marne and Côte-d'Or,560 km ( 216 sq mi ),8 November 2019
