Name,Country,Location,Capacity MW p,Size km²,Year
Tengger Desert Solar Park,China,37°33′00″N 105°03′14″E / 37.55000°N 105.05389°E / 37.55000 ; 105.05389 ( Tengger Desert Solar Park ),"1,547",43,2016
Kurnool Ultra Mega Solar Park,India,15°40′53″N 78°17′01″E / 15.681522°N 78.283749°E / 15.681522 ; 78.283749 ( Kurnool Solar Park ),"1,000",24,2017
Datong Solar Power Top Runner Base,China,"40°04′25″N 113°08′12″E / 40.07361°N 113.13667°E / 40.07361 ; 113.13667 ( Datong Solar Power Top Runner Project ) , 40°00′19″N 112°57′20″E / 40.00528°N 112.95556°E / 40.00528 ; 112.95556 ( Datong Solar Power Top Runner Project )","1,000",,2016
Longyangxia Dam Solar Park,China,36°10′54″N 100°34′41″E / 36.18167°N 100.57806°E / 36.18167 ; 100.57806 ( Longyangxia Dam Solar Park ),850,23,2015
Rewa Ultra Mega Solar,India,24°32′N 81°17′E / 24.53°N 81.29°E / 24.53 ; 81.29 ( Rewa Ultra Mega Solar ),750,,2018
Bhadla Solar Park,India,27°32′22.81″N 71°54′54.91″E / 27.5396694°N 71.9152528°E / 27.5396694 ; 71.9152528 ( Bhadla Solar Park ),746,40,2017
Kamuthi Solar Power Project,India,9°21′16″N 78°23′4″E / 9.35444°N 78.38444°E / 9.35444 ; 78.38444 ( Kamuthi Solar Power Project ),648,10.1,2016
Pavagada Solar Park,India,14°05′49″N 77°16′13″E / 14.09694°N 77.27028°E / 14.09694 ; 77.27028 ( Pavagada Solar Park ),"2,050",53,2017
Solar Star ( I and II ),United States,34°49′50″N 118°23′53″W / 34.83056°N 118.39806°W / 34.83056 ; -118.39806 ( Solar Star ),579,13,2015
Topaz Solar Farm,United States,35°23′N 120°4′W / 35.383°N 120.067°W / 35.383 ; -120.067 ( Topaz Solar Farm ),550,24.6,2014
