Hotel,Place,Country,Management by CIGH
Avenida Palace,Lisbon,Portugal,1891
Le Bosphorus Summer Palace,Therapia,Turkey,1894
Buffet de Lyon,Lyon,France,1900
Buffet Terminus,Oran,Algeria,1914
Chateau Royal d'Ardenne,Dinant,Belgium,1900
Elysée Palace,Paris,France,1896
Gezirah Palace,Cairo,Egypt,1894
Grand Hotel des Bains,Cherbourg,France,1901
Grand Hotel International,Brindisi,Italy,1893
Grand Hotel des Wagons-Lits,Beijing,China,1904
Hotels et Bains de Hongrie,Csorba,Hungary,1903
Maloja Palace,Maloja,Switzerland,1895
Pavillon de Bellevue,Meudon,France,1899
Pera Palace,Constantinople,Turkey,1894
Hôtel de la Plage,Ostend,Belgium,1895
Quarnero,Abbazia,Austria,1898
Riviera Palace,Nice,France,1893
Riviera Palace,"Monte Carlo ( Beausoleil , Alpes-Maritimes )",Monaco,1899
Hôtel Royal Palace,Ostend,Belgium,1899
Shepheard 's Hotel,Cairo,Egypt,1897
