Year,Host City,Host Country,World Champion,Second,Third
1988,Birmingham,Great Britain,Phil Day,Matt MacVeigh,Jim Mills
1990,Chapel Hill,United States,Jason Bergmann,Jeff Bohner,Steve Cooley
1992,Canberra,Australia,Steve Gould,Eric Roche,Bruno-André Giraudon
1994,Birmingham,Great Britain,Pascal Montagna,Stéphane Gentric,Bruno-André Giraudon
1995,Paris,France,Bruno-André Giraudon,Antonio Ribeiro da Silva,Thomas Sebeyran
1996,Columbus,United States,Pitt Crandlemire,Leif Bergman,Björn von Knorring
1997,Gothenburg,Sweden,Cyrille Sevin,Roger Edblom,Borger Borgersen
1998,Chapel Hill,United States,Chris Martin,John Quarto-von-Tivadar,Mark Fassio
1999,Namur,Belgium,Christian Dreyer,Leif Bergman,Ivan Woodward
2000,Hunt Valley,United States,Simon Bouton,Brian Dennehy,Matthew Shields
2001,Paris,France,Cyrille Sevin,Brian Dennehy,Chetan Radia
2002,Canberra,Australia,Rob Stephenson,Grant Steel,Yann Clouet
2003,Denver,United States,Vincent Carry,Edward Hawthorne,Frank Johansen
2004,Birmingham,Great Britain,Yann Clouet,André Kooy,Cyrille Sevin
2005,Washington,United States,Frank Johansen,Tom Kobrin,Edi Birsan
2006,Berlin,Germany,Nicolas Sahuguet,Cyrille Sevin,Yann Clouet
2007,Vancouver,Canada,Doug Moore,Jake Mannix,Mark Zoffel
2008,Lockenhaus,Austria,Julian Ziesing,Cyrille Sevin,Daniel Leinich
2009,Columbus,United States,Andrew Goff,Daniel Lester,Jim O'Kelley
2010,The Hague,Netherlands,Gwen Maggi,Igor Kurt,Xavier Blanchot
