Date,Co-Hosts,Guests/Segments
January 4,Regis Philbin & Kelly Ripa,"Chris Meloni , Jake Pavelka , and New Year , New You : Guide to Better Eating Week"
January 5,Regis Philbin & Kelly Ripa,"Jenna Elfman , Chesley Sullenberger , and New Year , New You : Guide to Better Eating Week"
January 6,Regis Philbin & Kelly Ripa,"Tim Allen , Katharine McPhee , and New Year , New You : Guide to Better Eating Week"
January 7,Regis Philbin & Kelly Ripa,"Amy Adams , Gabourey Sidibe , and New Year , New You : Guide to Better Eating Week"
January 8,Kelly Ripa & Nick Jonas,"Zach Braff , Marion Cotillard , and New Year , New You : Guide to Better Eating Week"
January 11,Regis Philbin & Kelly Ripa,Valerie Bertinelli and Nathan Fillion
January 12,Regis Philbin & Kelly Ripa,Jennifer Connelly
January 13,Regis Philbin & Kelly Ripa,"Freddie Prinze , Jr. and Tim Gunn"
January 14,Regis Philbin & Kelly Ripa,Kiefer Sutherland and Norah Jones
January 15,Kelly Ripa & Mark Consuelos,"Denzel Washington , Matt Bomer , and Fitness Friday"
January 18,Regis Philbin & Kelly Ripa,"Jeff Bridges , Ian Somerhalder , Carrie Underwood and Peter Gros"
January 19,Regis Philbin & Kelly Ripa,Randy Jackson and Ashley Judd
January 20,Regis Philbin & Kelly Ripa,Dwayne Johnson and Becki Newton
January 21,Regis Philbin & Kelly Ripa,"Brendan Fraser , Masi Oka , and Richard Ack Ack Ackerman"
January 22,Kelly Ripa & Jerry O'Connell,"Harrison Ford , Lucy Lawless , and Fitness Friday"
January 25,Kelly Ripa & Mark Consuelos,Glenn Close and Tracey Ullman
January 26,Kelly Ripa & Martin Short,Josh Duhamel and Home Remedies
January 27,Kelly Ripa & David Duchovny,Claire Danes
January 28,Kelly Ripa & Jeff Probst,Julianne Moore and Nick Thompson
January 29,Kelly Ripa & Mark Consuelos,"Kristen Bell , Christine Baranski , Project Ack Ack , and Fitness Friday"
