Name of aircraft,Year first flight,Country of origin
Aichi S1A,1945,Japan
Arado Ar 240,1940,Germany
Arsenal-Delanne 10,1941,France
Boeing YB-40 Flying Fortress,1943,US
Boeing XF8B,1944,US
Boulton Paul P.92,1937,UK
SABCA S.47,1939,Italy
Consolidated XB-41 Liberator,1942,US
Consolidated Vultee XP-81,1945,US
De Havilland Hornet,1944,UK
Fisher P-75 Eagle,1943,US
Gloster F.9/37,1939,UK
Grumman XF5F Skyrocket,1940,US
Grumman XP-50,1941,US
Hawker Hotspur,1938,UK
Hughes D-2,1943,US
IMAM Ro.58,1942,Italy
Kawasaki Ki-64,1943,Japan
Kawasaki Ki-96,1943,Japan
Lockheed XP-49,1942,US
