Team,Location,Stadium,Capacity
Chumphon,Chumphon,Chumphon Province Stadium,"3,000"
Hat Yai,Hat Yai,Jiranakorn Stadium,"25,000"
Krabi,Krabi,Krabi Provincial Stadium,"3,590"
Nakhon Si Thammarat,Nakhon Si Thammarat,PAO . Nakhon Si Thammarat Stadium ( Ron Phibun District ),"4,744"
Pattani,Pattani,Pattani Province Stadium,"8,000"
Phang Nga,Phang Nga,Phang Nga Provincial Administrative Organization Stadium,"3,000"
Phattalung,Phattalung,Phattalung Province Stadium,"4,021"
F.C . Phuket,Phuket,Surakul Stadium,"15,000"
Ranong,Ranong,Ranong Province Stadium,"1,000"
Satun,Satun,Satun Province Stadium,?
Surat Thani,Surat Thani,Surat Thani Province Stadium,"10,175"
Trang,Trang,Trang Province Stadium,"4,789"
Yala,Yala,Yala Province Stadium,"2,960"
