Team,Home town/suburb,Home ground
Ayrfield United F.C,Ayrfield,AUL Complex
Baldoyle Grange United F.C,Baldoyle,Brookstone Road
Collinstown F.C,"Lucan , Dublin",Ballyowen Park
East Wall Bessborough F.C,East Wall,Alfie Byrne Road
Finglas United F.C,Finglas,Larney Park
O'Devaney Dunard F.C,"Cabra , Dublin",AUL Complex
Kilbarrack United,Kilbarrack,Greendale Open Space
Sandyhill Shangan F.C,Ballymun,Coultry Park
St. Kevin 's Boys F.C,Santry,Shanowen Road
St. Paul 's Artane F.C,"Artane , Dublin",Ribh Road/Lein Road
Sheriff Y.C,Sheriff Street,"Fairview Park , Dublin"
Trinity Donaghmede F.C,Donaghmede,Fr . Collins Park/Donaghmeade Park
