#,Name,Term of Service,Residence,Political Party
1,Gordon W. Wells,1967-1968,Jay,Democratic
2,Roy L. Hess,1968-1972,Pensacola,Democratic
3,Grover Robinson III,1972-1982,Pensacola,Democratic
4,Tom Tobiassen,1982-1992,Pensacola,Democratic
5,Bolley Johnson,1992-1994,Milton,Democratic
6,Jerrold Burroughs,1994-1998,Cantonment,Republican
7,Jeff Miller,1998-2001,Chumuckla,Republican
8,Greg Evers,2001-2010,Milton,Republican
9,Doug Broxson,2010-2012,Pensacola,Republican
10,Clay Ingram,2012-2018,Pensacola,Republican
11,Mike Hill,2018-present,Pensacola,Republican
