No,Position,Player,Nation
0,Goalkeeper,Lalo Fernández ( on loan from Real Salt Lake ),Mexico
1,Goalkeeper,Andrew Weber,United States
2,Midfielder,Reid Schmitt,United States
3,Defender,Scott Morrison,Scotland
4,Defender,Devon Grousis,United States
5,Defender,Renan Boufleur,Brazil
6,Midfielder,Anthony Obodai,Ghana
7,Midfielder,David Paul,United States
8,Midfielder,Netinho,Brazil
9,Midfielder,Diego Faria,Brazil
10,Forward,Darren Mackie,Scotland
11,Defender,Cyprian Hedrick,Cameroon
13,Goalkeeper,Sheldon Parkinson,Jamaica
14,Forward,Aaron King,United States
15,Defender,José Ramos,Mexico
16,Defender,Isaiah Schafer,United States
17,Defender,Brian Holmes,United States
18,Midfielder,Thomas Ramos,United States
19,Defender,Elliot Weber,United States
20,Goalkeeper,Neal Kitson,United States
