Team,Previous Stanley Cup,Intervening Stanley Cup Finals losses,Next Stanley Cup,Stanley Cup drought
New York Rangers,1939-40,"3 : 1949-50 , 1971-72 , 1978-79",1993-94,53 seasons
Toronto Maple Leafs,1966-67,,,51 seasons
St. Louis Blues,never ( inception of franchise in 1967-68 ),"3 : 1967-68 , 1968-69 , 1969-70",2018-19,50 seasons
Buffalo Sabres,never ( inception of franchise in 1970-71 ),"2 : 1974-75 , 1998-99",,48 seasons
Vancouver Canucks,never ( inception of franchise in 1970-71 ),"3 : 1981-82 , 1993-94 , 2010-11",,48 seasons
Chicago Black Hawks,1960-61,"5 : 1961-62 , 1964-65 , 1970-71 , 1972-73 , 1991-92",2009-10,47 seasons
Los Angeles Kings,never ( inception of franchise in 1967-68 ),1 : 1992-93,2011-12,43 seasons
Philadelphia Flyers,1974-75,"6 : 1975-76 , 1979-80 , 1984-85 , 1986-87 , 1996-97 , 2009-10",,43 seasons
Washington Capitals,never ( inception of franchise in 1974-75 ),1 : 1997-98,2017-18,42 seasons
Detroit Red Wings,1954-55,"6 : 1955-56 , 1960-61 , 1962-63 , 1963-64 , 1965-66 , 1994-95",1996-97,41 seasons
