Model,Builder,Country,Load / Comments
AEC Matador,AEC,UK,Field Artillery Tractor
Corbitt 6-ton 6x6,Various,US,6-ton ( 5440kg )
Diamond T 4-ton 6x6,Diamond T,US,4-ton ( 3630kg )
Dodge D8A ( T212 ),Dodge,Canada,"8cwt ( 800lbs , 360kg )"
"Ford GP , GPA",Ford,US,"​ ⁄ 4 -ton 4x4 , GPA amphibian"
Morris C8,Morris-Commercial,UK,Field Artillery Tractor
Willys MB/Ford GPW,Willys / Ford,US,Jeep ​ ⁄ 4 -ton 4x4
"C/F-8 , C/F-8A CMP",Chevrolet / Ford,Canada,"8cwt ( 800lbs , 360kg )"
"C/F-15 , C/F-15A CMP",Chevrolet / Ford,Canada,"15cwt ( ​ ⁄ 4 -ton , 630kg )"
"C/F-30 , C/F-30A CMP",Chevrolet / Ford,Canada,"30cwt ( ​ 1 ⁄ 2 -ton , 1360kg )"
"C/F-60 , C/F-60A CMP",Chevrolet / Ford,Canada,"60cwt ( 3-ton , 2720kg )"
C-60X 6x6 CMP,Chevrolet,Canada,three driven axles
F-60H 6x4 CMP,Ford,Canada,"three axles , rear un-driven"
C/F-GT CMP,Chevrolet / Ford,Canada,Field Artillery Tractor
