Team,Home town/suburb,Ground,Years
Ballina Town,"Ballina , County Mayo",Belleek Park,1989-2000
Ballina Rovers,"Ballina , County Mayo",,1981-1986
Ballinasloe Town,Ballinasloe,,1982-1997
Castlebar Celtic,Castlebar,Celtic Park,1987-2000
Castlerea Celtic,Castlerea,,1981-1986
Galway United Reserves,Galway,Terryland Park,1983-2000
Galway Hibernians,Galway,,1994-1996
Gentex,Athlone,,1987 1993-1998
Longford Town Reserves,Longford,Strokestown Road,1991-1993 1995-1997
Longford Celtic,Longford,,1995-1996
Manulla FC,"Manulla , County Mayo",,1997-1998
Mervue United,Mervue,Fahy 's Field,1981-1989 1991-2000
Salthill Devon,Salthill,Drom Soccer Park,1981-2000
Sligo Rovers Reserves,Sligo,Sligo Showgrounds,1981-1985 1990-2000
Straide & Foxford United,Foxford,,1994-1999
St Peters,Athlone,,1993-2000
Tuam Celtic,Tuam,Celtic Park,1981-1990
UCG/NUI Galway,Galway,Dangan,1981-2000
Westport United,"Westport , County Mayo",Sports Park,1988-1995
