Nr,Name,Country,Town / Village,Year
1,Sailor 's Mosque Seaman 's Mosque Rana Mosque,Montenegro,"Rana , Ulcinj Ulqin",2012
2,Lami Mosque Mahalla e Re Mosque,Montenegro,"Mahalla e Re , Ulcinj Ulqin",1689
3,Pasha 's Mosque with hamams,Montenegro,"Rana , Ulcinj Ulqin",1719
4,Namazgjahu Mosque Bazar Mosque Mezgjahu Mosque Great Mosque,Montenegro,"Çarshia , Ulcinj Ulqin",1728
5,Kryepazari Mosque Maja-pazari Mosque,Montenegro,"Çarshia , Ulcinj Ulqin",1749
6,Bregu Mosque,Montenegro,"Meraja , Ulcinj Ulqin",1783
7,Kolomza Mosque,Montenegro,Kolonza Kollomzë,1813
8,Pistulla Mosque,Montenegro,Pistula Pistull,1890
9,Zogaj Mosque,Montenegro,Zoganje Zogaj,1760
10,Kllezna Mosque,Montenegro,Gornja Klezna Këllezna e Epërme,1900
11,Krythë Mosque,Montenegro,Krute Krythë,1725
12,Katërkollë Mosque Vladimir Mosque,Montenegro,Vladimir Katërkollë,1971
13,Shas Mosque,Montenegro,Svač Shas,1800
14,Shtodër Mosque,Montenegro,Štodra Shtodër,1835
15,Millë Mosque,Montenegro,Mide Millë,1914
16,Bojkë Mosque,Montenegro,Bojke Bojkë,1998
17,Brajshë Mosque,Montenegro,Brajše Brajshë,1785
18,Selita Mosque,Montenegro,Seljita Selitë,1835
19,Dragaj Mosque,Montenegro,Draginje Draginjë,1856
20,Sukobin Mosque,Montenegro,Sukobin Sukobinë,1820
