Location,Date,Sculptor
"Queen Victoria Statue . Victoria Square , Adelaide",1889,Charles Bell Birch
"Queen Victoria Statue . Queen Victoria Square . Sturt Street Gardens , Ballarat",1897-1900,Bertram Mackennal
"Queen Victoria Statue . Rosalind Park . Pall Mall , Bendigo",1903,James White
Brisbane Queens Gardens,1906,Thomas Brock
( Queen Victoria Memorial ) Melbourne Queen Victoria Gardens,1907,James White
Perth Kings Park,1903,Francis John Williamson
"Sydney General Post Office building , Martin Place",1883,Signor Giovanni Fontana
"Queen Victoria Monument . Eastern Park ( formerly of Market Square ) . Geelong , Victoria",1903,
"Queen Victoria Queen Victoria Building , Druitt Street , Sydney",1904 ( in Dublin ) 1987 ( in Sydney ),John Hughes
Sydney Queen 's Square,1888,Joseph Boehm
