Rank,Title,Distributor,Worldwide gross
1,Avatar,20th Century Fox,"$ 2,749,064,328"
2,Harry Potter and the Half-Blood Prince,Warner Bros,"$ 934,416,487"
3,Ice Age : Dawn of the Dinosaurs,20th Century Fox,"$ 886,686,817"
4,Transformers : Revenge of the Fallen,Paramount / DreamWorks,"$ 836,303,693"
5,2012,Sony,"$ 769,679,473"
6,Up,Disney,"$ 735,099,082"
7,The Twilight Saga : New Moon,Lionsgate,"$ 709,711,008"
8,Sherlock Holmes,Warner Bros,"$ 524,028,679"
9,Angels & Demons,Sony,"$ 485,930,816"
10,The Hangover,Warner Bros,"$ 467,483,912"
