Year,Title,Role
2004,The Libertine,Downs
2005,Pride & Prejudice,Mr. Wickham
2005,Mrs. Palfrey at the Claremont,Ludovic Meyer
2007,The Moon and the Stars,Renzo Daverio / Spoletta
2007,Outlaw,Sandy Mardell
2007,The Last Legion,Demetrius
2007,Virgin Territory,Alessandro Felice
2008,Jolene,Coco Leger
2008,The Boy in the Striped Pyjamas,Lt. Kurt Kotler
2009,The Young Victoria,Prince Albert
2009,Chéri,Chéri
2009,The Continuing and Lamentable Saga of the Suicide Brothers,Bourbon
2010,The Kid,Kevin Lewis
2010,Lullaby for Pi,Sam
2011,Steve,
2011,5 Days of War,Thomas Anders
2012,To Write Love on Her Arms,David McKenna
2013,The Zero Theorem,Man in Street Commercial
2014,Starred Up,Oliver
2014,Meet Me in Montenegro,Stephen
