Station,Ward or City,Opening date,Design,Daily ridership ( FY2017 )
Ikebukuro,Toshima,1954.01.20 1974.10.30 1994.12.07,Underground,"568,316"
Ōtemachi,Chiyoda,1956.07.20 1966.10.01 1969.12.20 1989.01.26,Underground,"338,955"
Kita-Senju,Adachi,1969.12.20,Underground,"291,919"
Ginza,Chūō,1934.03.03 1957.12.15 1964.08.29,Underground,"266,574"
Shimbashi,Minato,1934.06.21,Underground,"252,793"
Shinjuku,Shinjuku,1959.03.15,Underground,"236,657"
Shibuya,Shibuya,1938.12.20,Elevated,"224,784"
Toyosu,Kōtō,1988.06.08,Underground,"214,032"
Ueno,Taitō,1927.12.30 1961.03.28,Underground,"213,020"
Tōkyō,Chiyoda,1956.07.20,Underground,"211,558"
Takadanobaba,Shinjuku,1969.03.29,Underground,"203,957"
Iidabashi,Chiyoda Shinjuku,1964.12.23 1974.10.30 1996.03.26,Underground,"195,294"
Nihombashi,Chūō,1932.12.24 1967.09.14,Underground,"189,764"
Omotesandō,Minato,1938.11.18 1972.10.20 1978.08.01,Underground,"182,125"
Kudanshita,Chiyoda,1964.12.23 1989.01.26,Underground,"176,675"
Yūrakuchō,Chiyoda,1974.10.30,Underground,"174,378"
Nishi-Nippori,Arakawa,1969.12.20,Underground,"170,756"
Shinjuku Sanchōme,Shinjuku,1959.03.15 2008.06.14,Underground,"163,044"
Kasumigaseki,Chiyoda,1958.10.15 1964.03.25 1971.03.20,Underground,"150,628"
Kokkai Gijidō-mae Tameike-Sannō,Chiyoda,1959.03.15 1972.10.20 1997.09.30 1997.09.30,Underground,"150,373"
