Season,Gold,Silver,Bronze
2000 Igls,Steffi Hanzlik ( GER ),Mellisa Hollingsworth ( CAN ),Tricia Stumpf ( USA )
2001 Calgary,Maya Pedersen ( SUI ),Alex Coomber ( GBR ),Tricia Stumpf ( USA )
2003 Nagano,Michelle Kelly ( CAN ),Yekaterina Mironova ( RUS ),Tristan Gale ( USA )
2004 Königssee,Diane Sartor ( GER ),Lindsay Alcock ( CAN ),Kerstin Jürgens ( GER )
2005 Calgary,Maya Pedersen ( SUI ),Noelle Pikus-Pace ( USA ),Michelle Kelly ( CAN )
2007 St. Moritz,Noelle Pikus-Pace ( USA ),Maya Pedersen ( SUI ),Katie Uhlaender ( USA )
2008 Altenberg,Anja Huber ( GER ),Katie Uhlaender ( USA ),Kerstin Jürgens ( GER )
2009 Lake Placid,Marion Trott ( GER ),Amy Williams ( GBR ),Kerstin Szymkowiak ( GER )
2011 Königssee,Marion Thees ( GER ),Anja Huber ( GER ),Mellisa Hollingsworth ( CAN )
2012 Lake Placid,Katie Uhlaender ( USA ),Mellisa Hollingsworth ( CAN ),Lizzy Yarnold ( GBR )
2013 St. Moritz,Shelley Rudman ( GBR ),Noelle Pikus-Pace ( USA ),Sarah Reid ( CAN )
2015 Winterberg,Lizzy Yarnold ( GBR ),Jacqueline Lölling ( GER ),Elisabeth Vathje ( CAN )
2016 Igls,Tina Hermann ( GER ),Janine Flock ( AUT ),Elena Nikitina ( RUS )
2017 Königssee,Jacqueline Lölling ( GER ),Tina Hermann ( GER ),Lizzy Yarnold ( GBR )
2019 Whistler,Tina Hermann ( GER ),Jacqueline Lölling ( GER ),Sophia Griebel ( GER )
