Community,Airport name,TC LID
Akulivik,Akulivik Airport,
Alma,Alma Airport,
Alma,Alma ( Rivière La Grande Décharge ) Water Aerodrome,CGD2
Amos,Amos ( Lac Figuery ) Water Aerodrome,CSC6
Amos,Amos/Magny Airport,
Aupaluk,Aupaluk Airport,
Bagotville,CFB Bagotville ( Bagotville Airport ),
Baie-Comeau,Baie-Comeau Airport,
Baie-Comeau,Baie-Comeau/Héli-Manicouagan Heliport,CSN9
Baie-Comeau,Baie-Comeau ( Manic 1 ) Airport,CSL9
Baie-Comeau,Baie-Comeau Water Aerodrome,CSD6
Baie-Saint-Paul,Baie-Saint-Paul Heliport,CTD4
Barrage Gouin Lodge,Barrage Gouin Water Aerodrome,CTP3
Bécancour,Bécancour Heliport,CSV3
Blanc-Sablon,Lourdes-de-Blanc-Sablon Airport,
Blue Sea Lake,Blue Sea Lake ( Outaouais Aviation ) Water Aerodrome,CBS6
Bonaventure,Bonaventure Airport,
Bromont,Bromont ( Roland Désourdy ) Airport,
Caniapiscau,Caniapiscau Aerodrome,CCP6
Caniapiscau,Lac Pau ( Caniapiscau ) Water Aerodrome,CTP4
