Name,Manufacturer,Description
Cadbury,Cadbury,"A British confectionery company owned by Mondelēz International Inc. and is the industry 's second-largest globally after Mars , Incorporated . With its headquarters in Uxbridge , London , England , the company operates in more than 50 countries worldwide"
Dark chocolate,,"Produced by adding fat and sugar to cocoa , it is chocolate with no or much less milk compared to milk chocolate . The U.S. has no official definition for dark chocolate but European rules specify a minimum of 35% cocoa solids"
Hershey Bar,Hershey,The Hershey Milk Chocolate Bar was first sold in 1900 with the Hershey 's Milk Chocolate with Almonds variety beginning produced in 1908 . A circular version of the milk chocolate bar called Hershey 's Drops was released in 2010
Hershey 's Kisses,Hershey,"Bite-sized pieces of chocolate with a distinctive shape , they are wrapped in squares of lightweight aluminum foil with a narrow strip of paper protruding from the top"
Jersey Milk,,Milk chocolate bar
Kit Kat,"U.S.- Hershey , UK- Nestlé",Chocolate-covered wafer biscuit bar confection
Lindt,Lindt,
Maltesers,"Mars , Inc",
Milk Duds,Hershey,"A caramel candy , historically enrobed with milk chocolate and currently enrobed with a confectionery coating made from cocoa and vegetable oil"
Milky Way,"Mars , Inc",Pictured are a larger American ( left ) and a smaller European ( right ) Milky Way bar
Peppermint bark,,"A chocolate confection that consists of peppermint candy pieces , such as candy canes , in white chocolate on top of dark chocolate , but peppermint bark can refer to any chocolate with peppermint candy pieces in it"
Reese 's Peanut Butter Cup,Hershey,Peanut butter covered in milk chocolate
Rolo,"U.S.- Hershey , UK- Nestlé",Chocolate-coated caramels
Snickers,"Mars , Inc",Peanuts and caramel covered in milk chocolate
Twix,"Mars , Inc",Caramel and cookie covered in milk chocolate
Whoppers,Hershey,Chocolate-covered malted milk balls
