No,Peak,Country,Elevation ( m ),Prominence ( m ),Col ( m )
1,Musala,Bulgaria,"2,925","2,473",432
2,Mount Olympus ( Mytikas ),Greece,"2,917","2,353",564
3,Mount Korab,Albania / North Macedonia,"2,764","2,169",595
5,Maja Jezercë,Albania,"2,694","2,036",658
6,Mount Athos,Greece,"2,030","2,012",18
7,Mount Ossa,Greece,"1,978","1,854",124
8,Nemërçkë ( Maja e Papingut ),Albania,"2,482","1,792",690
9,Vihren,Bulgaria,"2,914","1,784",1131
10,Pangaion Hills,Greece,"1,956","1,773",183
11,Kaimakchalan,Greece / North Macedonia,"2,528","1,758",770
12,Smolikas,Greece,"2,637","1,736",901
13,Mount Giona,Greece,"2,510","1,702",808
14,Jakupica,North Macedonia,"2,540","1,666",874
15,Maja e Këndrevicës,Albania,"2,121","1,666",455
16,Radomir,Bulgaria / Greece,"2,031","1,595",436
17,Mount Parnassus,Greece,"2,457","1,590",867
18,Botev Peak,Bulgaria,"2,376","1,567",809
19,Mali i Çikës,Albania,"2,044","1,563",481
20,Maja e Valamarës,Albania,"2,373","1,526",847
21,Pelister,North Macedonia,"2,601","1,516",1085
