Region,Density ( /km² ),Density ( /mi² ),Comparable country
Arica and Parinacota,11.0,28,Turkmenistan
Tarapacá,7.4,19,Central African Republic
Antofagasta,4.6,12,Gabon
Atacama,3.7,9.6,Libya
Coquimbo,17.7,46,Solomon Islands
Valparaíso,107.3,278,Hungary
Santiago,446.9,"1,157",Puerto Rico
O'Higgins,53.9,140,Mexico
Maule,33.3,86,Zimbabwe
Biobío,54.9,142,Mexico
Araucanía,30.5,79,Estonia
Los Ríos,20.6,53,Sweden
Los Lagos,17.2,45,Zambia
Aisén,1.0,2.6,Mongolia
Magallanes,1.2,3.1,Mongolia
Chile,22.6,59,Brazil
