Year,Title,Role
1996,The Winner ( 贏家 ),
1997,Spicy Love Soup ( 愛情麻辣烫 ),photographer
1998,Red River Valley ( 紅河谷 ),Gasang
1998,Rhapsody of Spring ( 春天的狂想 ),Zhao Liming
1999,Crash Landing ( 緊急迫降 ),Pilot Li
1999,My Heart Will Go On ( 還我情心 ),
2002,Red Snow ( 極地營救 ),
2003,T.R.Y,
2004,Fight for Justice ( 決戰梟雄 ),
2005,The Myth ( 神話 ),Nangong Yan
2005,"Sunrise , Sunset ( 日出日落 )",Xia Zhi
2008,The Butterfly Lovers ( 劍蝶 ),General Tie
2009,Give Love ( 愛得起 ),Hilton
2010,Let the Bullets Fly ( 讓子彈飛 ),Two
2010,Beyond the Sacred Land ( 聖地額濟納 ),
2010,If You Are the One II ( 非誠勿擾2 ),Li Jianqiang
2011,Treasure Hunt ( 無價之寶 ),Star
2011,The Lost Bladesman ( 關雲長 ),Zhang Liao
2012,Happiness ( 幸福 ),
2013,Saving General Yang ( 忠烈楊家將 ),Yelü Yuan
