Rank,Film,Year,Director,Studio ( s ),Worldwide gross
1,Dangal,2016,Nitesh Tiwari,Aamir Khan Productions UTV Motion Pictures Walt Disney Studios India,"₹2,024 crore ( US $ 311 million )"
2,Bajrangi Bhaijaan,2015,Kabir Khan,Salman Khan Films Kabir Khan Films Eros International,₹969.06 crore ( US $ 150 million )
3,Secret Superstar,2017,Advait Chandan,Aamir Khan Productions,₹966.86 crore ( US $ 154 million )
4,PK,2014,Rajkumar Hirani,Vinod Chopra Films Rajkumar Hirani Films,₹832 crore ( US $ 140 million )
5,Sultan,2016,Ali Abbas Zafar,Yash Raj Films,₹623.33 crore ( US $ 96 million )
6,Sanju,2018,Rajkumar Hirani,Rajkumar Hirani Films Vinod Chopra Films,₹586.85 crore ( US $ 90.12 million )
7,Padmaavat,2018,Sanjay Leela Bhansali,Bhansali Productions Viacom 18 Motion Pictures,₹585 crore ( US $ 90 million )
8,Tiger Zinda Hai,2018,Ali Abbas Zafar,Yash Raj Films,₹565.1 crore ( US $ 87.32 million )
9,Dhoom 3,2013,Vijay Krishna Acharya,Yash Raj Films,₹ 556 crore ( US $ 101 million )
10,War,2019,Siddharth Anand,Yash Raj Films,₹ 474.79 crore ( US $ 67 million )
