No,Date,Teams,Sport,Competition,Crowd
1,30 August 1952,Geelong Cats v. Carlton Blues,Australian rules football,VFL,"49,107"
2,16 August 1980,Geelong Cats v. Collingwood Magpies,Australian rules football,VFL,"42,278"
3,20 April 1981,Geelong Cats v. Collingwood Magpies,Australian rules football,VFL,"41,395"
4,3 August 1963,Geelong Cats v. Essendon Bombers,Australian rules football,VFL,"40,885"
5,25 April 1964,Geelong Cats v. Collingwood Magpies,Australian rules football,VFL,"40,299"
6,28 March 1981,Geelong Cats v. Essendon Bombers,Australian rules football,VFL,"37,256"
7,12 July 1952,Geelong Cats v. Collingwood Magpies,Australian rules football,VFL,"36,145"
8,25 April 1970,Geelong Cats v. Collingwood Magpies,Australian rules football,VFL,"35,654"
9,13 June 1988,Geelong Cats v. Collingwood Magpies,Australian rules football,VFL,"35,322"
10,15 April 1967,Geelong Cats v. Collingwood Magpies,Australian rules football,VFL,"35,151"
