#,Name,POS,Moving from,Mode,Notes
1,Kim Sang-Pil,DF,Sungkyunkwan University,Youth system ( After Univ . ),FC Seoul U-18 Team ( 2009 Draft )
2,Kim Eun-Do,GK,Dongbuk High School,Youth system,FC Seoul U-18 Team
3,Park Seung-Ryeol,MF,Dongbuk High School,Youth system,FC Seoul U-18 Team
4,Shin Hak-Young,MF,Dongbuk High School,Youth system,FC Seoul U-18 Team
5,Choi Bong-Won,DF,Dongbuk High School,Youth system,FC Seoul U-18 Team
6,Hwang Sin-Young,FW,Dongbuk High School,Youth system,FC Seoul U-18 Team
7,Oh Jun-Hyeok,,Dongbuk High School,Youth system ( Univ . ),FC Seoul U-18 Team
8,Cho Won-Tae,,Dongbuk High School,Youth system ( Univ . ),FC Seoul U-18 Team
9,Park Hee-Seong,FW,Korea University,Regular ( 1st ),
10,Lee Sang Hyeob,FW,Korea University,Regular ( 3rd ),
11,Moon Dong-Ju,FW,Daegu University,Regular ( 4th ),
12,Roh Young-Gyun,MF,Boin High School,Regular ( 6th ),
13,Kim Nam-Chun,DF,Dongguk University,Rookie Free Agent,
