Event,Date,Location,Venue
Hero 's 1,"March 26 , 2005","Saitama , Japan",Saitama Super Arena
Hero 's 2,"July 6 , 2005","Tokyo , Japan",Yoyogi National Gymnasium
Hero 's 3,"September 7 , 2005","Tokyo , Japan",Ariake Coliseum
Hero 's 2005 in Seoul,"November 5 , 2005","Seoul , South Korea",Olympic Gymnastics Arena
Hero 's Lithuania 2005,"November 26 , 2005","Vilnius , Lithuania",Siemens Arena
K-1 PREMIUM 2005 Dynamite ! !,"December 31 , 2005","Osaka , Japan",Osaka Dome
Hero 's 4,"March 15 , 2006","Tokyo , Japan",Nippon Budokan
Hero 's 5,"May 3 , 2006","Tokyo , Japan",Yoyogi National Gymnasium
Hero 's 6,"August 5 , 2006","Tokyo , Japan",Ariake Coliseum
Hero 's 7,"October 9 , 2006","Yokohama , Japan",Yokohama Arena
Hero 's Lithuania 2006,"November 11 , 2006","Vilnius , Lithuania",Siemens Arena
K-1 PREMIUM 2006 Dynamite ! !,"December 31 , 2006","Osaka , Japan",Osaka Dome
Hero 's 8,"March 12 , 2007","Nagoya , Japan",Nippon Gaishi Hall
Dynamite ! ! USA,"June 2 , 2007","Los Angeles , California , USA",Los Angeles Memorial Coliseum
Hero 's 9 : Middleweight Tournament Opening Round,"July 16 , 2007","Yokohama , Japan",Yokohama Arena
Hero 's 10 : Middleweight Tournament Final,"September 17 , 2007","Yokohama , Japan",Yokohama Arena
Hero 's 2007 in Korea,"October 28 , 2007","Seoul , South Korea",Jangchung Gymnasium
Hero 's Lithuania 2007,"November 10 , 2007","Vilnius , Lithuania",Siemens Arena
K-1 PREMIUM 2007 Dynamite ! !,"December 31 , 2007","Osaka , Japan",Osaka Dome
