Seasons,Team,Last appearance in Conference Finals,Result
49,Los Angeles Clippers,0 Never,z -
40,Washington Wizards,1979,Won vs. San Antonio
29,Charlotte Hornets,0 Never,z -
19,New York Knicks,2000,Lost vs. Indiana
18,Philadelphia 76ers,2001,Won vs. Milwaukee
17,Sacramento Kings,2002,Lost vs. Los Angeles Lakers
17,New Orleans Pelicans,0 Never,z -
16,Brooklyn Nets,2003,Won vs. Detroit
15,Minnesota Timberwolves,2004,Lost vs. Los Angeles Lakers
12,Utah Jazz,2007,Lost vs. San Antonio
11,Detroit Pistons,2008,Lost vs. Boston
10,Denver Nuggets,2009,Lost vs. Los Angeles Lakers
9,Orlando Magic,2010,Lost vs. Boston
9,Phoenix Suns,2010,Lost vs. Los Angeles Lakers
9,Los Angeles Lakers,2010,Won vs. Phoenix
8,Chicago Bulls,2011,Lost vs. Miami
8,Dallas Mavericks,2011,Won vs. Oklahoma 0 Won vs. Oklahoma City 0
6,Memphis Grizzlies,2013,Lost vs. San Antonio
5,Miami Heat,2014,Won vs. Indiana
5,Indiana Pacers,2014,Lost vs. Miami
