Medal,Name,Sport,Event,Date
Gold,Kim Kum Sok,Weightlifting,Men 's 69 kg,15 November
Gold,Kum Chol Pang,Weightlifting,Men 's 77 kg,16 November
Gold,Yong Suk Jo,Shooting,Women 's 25m Pistol,16 November
Gold,Myong Won Pak,Shooting,Men 's 10m Running Target Mixed,17 November
Gold,DPR Korea,Shooting,Men 's 10m Running Target Mixed Team,17 November
Gold,Sim Hyang Song,Wrestling,Women 's Freestyle 48 kg,25 November
Silver,Cha Kum Chol,Weightlifting,Men 's 56 kg,13 November
Silver,Pak Hyon Suk,Weightlifting,Women 's 58 kg,15 November
Silver,Kim Un Guk,Weightlifting,Men 's 62 kg,14 November
Silver,Sol Kyong,Judo,Women 's 70 kg,14 November
Silver,DPR Korea,Football,Women 's,22 November
Silver,Jong Su Kim,Shooting,Men 's 25m Standard Pistol,17 November
Silver,Yong Chol Jo,Shooting,Men 's 10m Running Target,16 November
Silver,DPR Korea,Shooting,Men 's 10m Running Target Team,16 November
Silver,DPR Korea,Shooting,Women 's Trap Team,19 November
Silver,Kyong Il Yang,Wrestling,Men 's Freestyle 55 kg,23 November
Bronze,An Kum Ae,Judo,Women 's 52 kg,15 November
Bronze,Kim Su Gyong,Judo,Women 's 63 kg,14 November
Bronze,Hong Kuk Hyon,Judo,Men 's 66 kg,15 November
Bronze,Jo Yong Suk,Shooting,Women 's 10m Air Pistol,14 November
