Year,No,Team,Car,Co-driver,Position,Laps
1998,33,Burwood Motorsport,Honda Civic,Allan Letcher Cameron Edwards,DNF,34
1998,9,Longhurst Racing,Ford EL Falcon,Alan Jones,DNF,58
1999,25,Longhurst Racing,Ford AU Falcon,Tony Longhurst,DNF,150
2000,46,John Faulkner Racing,Holden VT Commodore,John Faulkner,DNF,154
2001,8,Perkins Engineering,Holden VX Commodore,Luke Youlden,DNF,85
2003,5,Ford Performance Racing,Ford BA Falcon,Darren Hossack,DNF,63
2004,5,Ford Performance Racing,Ford BA Falcon,Alain Menu,DNF,43
2005,88,Triple Eight Race Engineering,Ford BA Falcon,Steven Ellery,3rd,161
2006,25,Britek Motorsport,Ford BA Falcon,Warren Luff,DNF,102
2007,25,Britek Motorsport,Ford BF Falcon,Jason Bright,DNF,149
2008,25,Britek Motorsport,Ford BF Falcon,Jason Bright,9th,161
