Channel,Established,Owner ( s ),Language,Headquarters,Area served
Class CNBC,2000,"Class Editori ( 60% ) , Mediaset ( 20% ) , NBCUniversal ( 20% )",Italian,Milan,Italy
CNBC,1989,NBCUniversal,English,Englewood Cliffs,United States
CNBC Africa,2007,NBCUniversal / Africa Business News,English,Johannesburg,Africa
CNBC Arabiya,2003,Middle East Business News ( franchisee ),Arabic,Dubai,Arab World
CNBC Asia,1995,NBCUniversal,English,"Singapore , Mumbai",Asia
CNBC Awaaz,2005,"TV18 ( 90% ) , NBCUniversal ( 10% )",Hindi,Mumbai,India
CNBC Europe,1996,NBCUniversal,English,London,Europe
CNBC TV18,1999,"TV18 ( 90% ) , NBCUniversal ( 10% )",English,Mumbai,India
CNBC World,2001,NBCUniversal,English,Englewood Cliffs,United States
Nikkei CNBC,1999,"Nikkei ( 51% ) , NBCUniversal , TV Tokyo , Jupiter TV",Japanese,Tokyo,Japan
SBS-CNBC,2009,NBCUniversal and SBS,Korean,Seoul,Republic of Korea
CNBC Indonesia,2018,NBCUniversal and Trans Media,Indonesian,Jakarta,Indonesia
JKN-CNBC,2020,JKN Global Media ( franchisee ),Thai,Bangkok,Thailand
CNBC Bajar,2014,"TV18 ( 75% ) , NBCUniversal and Zee Network ( 10-25% )",Gujarati,New Delhi,India
CNBC Tamilan,2006,"TV18 ( 25% ) , NBCUniversal and Zee Network ( 65-10% )",Tamil,Greater Noida,India
CNBC Bangles,2002,"TV18 ( 75% ) , NBCUniversal and Zee Network ( 10-25% )",Bangla,New Delhi,India
